Cliente: null | Endereço IP: 25.46.63.191 | Data/Hora: 08-10-2023 13:07:53
Cliente: null | Endereço IP: 25.46.63.191 | Data/Hora: 08-10-2023 13:07:56
Cliente: null | Endereço IP: 25.46.63.191 | Data/Hora: 08-10-2023 13:10:05
Cliente: null | Endereço IP: 25.46.63.191 | Data/Hora: 08-10-2023 13:10:10
Cliente: null | Endereço IP: 25.46.63.191 | Data/Hora: 08-10-2023 13:14:46
Cliente: null | Endereço IP: 25.46.63.191 | Data/Hora: 08-10-2023 13:14:49
Cliente: null | Endereço IP: 25.46.63.191 | Data/Hora: 08-10-2023 13:16:47
Cliente: null | Endereço IP: 25.46.63.191 | Data/Hora: 08-10-2023 13:16:49
Cliente: null | Endereço IP: 25.46.63.191 | Data/Hora: 08-10-2023 13:18:28
Cliente: null | Endereço IP: 25.46.63.191 | Data/Hora: 08-10-2023 13:18:31
Cliente: null | Endereço IP: 25.46.63.191 | Data/Hora: 08-10-2023 13:19:57
Cliente: null | Endereço IP: 25.46.63.191 | Data/Hora: 08-10-2023 13:19:59
Cliente: null | Endereço IP: 25.46.63.191 | Data/Hora: 08-10-2023 13:24:01
Cliente: abutica | Endereço IP: 25.46.63.191 | Data/Hora: 08-10-2023 13:27:05
Cliente: cuzaa | Endereço IP: 25.46.63.191 | Data/Hora: 08-10-2023 13:27:43
Cliente: obilue | Endereço IP: 25.46.63.191 | Data/Hora: 08-10-2023 13:28:07
Cliente: a | Endereço IP: 25.46.63.191 | Data/Hora: 08-10-2023 13:29:20
Cliente: b | Endereço IP: 25.46.63.191 | Data/Hora: 08-10-2023 13:29:24
Cliente:  aoao | Endereço IP: 25.46.63.191 | Data/Hora: 08-10-2023 13:39:17
Cliente: a | Endereço IP: 25.46.63.191 | Data/Hora: 08-10-2023 13:40:10
